date1,daydream,spectacles,date2,oculus,date3,hololens
11/3/2016,782.190002,152.75,3/21/2016,111.849998,10/7/2016,57.799999
11/4/2016,781.099976,153.880005,3/22/2016,112.25,10/10/2016,58.040001
11/7/2016,802.030029,157.759995,3/23/2016,112.540001,10/11/2016,57.189999
11/8/2016,811.97998,158.070007,3/24/2016,113.050003,10/12/2016,57.110001
11/9/2016,805.590027,160.429993,3/28/2016,113.690002,10/13/2016,56.919998
11/10/2016,780.289978,166.639999,3/29/2016,116.139999,10/14/2016,57.419998
11/11/2016,771.75,166.470001,3/30/2016,114.699997,10/17/2016,57.220001
11/14/2016,753.219971,167.610001,3/31/2016,114.099998,10/18/2016,57.66
11/15/2016,775.159973,168.509995,4/1/2016,116.059998,10/19/2016,57.529999
11/16/2016,779.97998,166.610001,4/4/2016,112.550003,10/20/2016,57.25
11/17/2016,786.159973,167.550003,4/5/2016,112.220001,10/21/2016,59.66
