,category,date,section,tags,title,topics,url
2,Apps,2016-10-14,startups/,apoorva-mehta,"Instacart reverses course, re-introducing tips for shoppers",instacart,https://techcrunch.com/2016/10/14/instacart-reverses-course-re-introducing-tips/
15,Apps,2016-10-12,startups/,artificial-intelligence,Ozlo AI assistant is the new underdog filling the void left by Viv,"windows-10,windows-phone,siri",https://techcrunch.com/2016/10/12/ozlo-ai-assistant-is-the-new-underdog-filling-the-void-left-by-viv/
16,Apps,2016-10-14,mobile/,apoorva-mehta,"Instacart reverses course, re-introducing tips for shoppers",instacart,https://techcrunch.com/2016/10/14/instacart-reverses-course-re-introducing-tips/
20,Apps,2016-10-13,mobile/,facebook-live,"Periscope Producer lets you stream to Twitter from pro cameras, apps, VR","facebook,periscope",https://techcrunch.com/2016/10/13/periscope-producer/
26,Apps,2016-10-12,mobile/,app,Google’s new Sprayscape app is purposely imperfect,google,https://techcrunch.com/2016/10/12/spray-and-pray/
29,Apps,2016-10-11,mobile/,quip,"Dropbox rolls out PDF signing, iMessage integrations and picture-in-picture on iOS","box,dropbox-inc",https://techcrunch.com/2016/10/11/dropbox-rolls-out-pdf-signing-imessage-integrations-and-picture-in-picture-on-ios/
71,Apps,2016-10-13,social/,facebook-live,"Periscope Producer lets you stream to Twitter from pro cameras, apps, VR","facebook,periscope",https://techcrunch.com/2016/10/13/periscope-producer/
99,Apps,2016-10-03,asia/,"messenger,facebook-messenger",Facebook launches pared back Android chat app to keep growing its messaging empire,"android,facebook",https://techcrunch.com/2016/10/03/facebook-launches-pared-back-android-chat-app-to-keep-growing-its-messaging-empire/
110,Apps,2016-10-11,startups/,quip,"Dropbox rolls out PDF signing, iMessage integrations and picture-in-picture on iOS","box,dropbox-inc",https://techcrunch.com/2016/10/11/dropbox-rolls-out-pdf-signing-imessage-integrations-and-picture-in-picture-on-ios/
132,Apps,2016-10-07,social/,facebook-events,Facebook launches standalone “Events” discovery and calendar app,facebook,https://techcrunch.com/2016/10/07/facebook-events-app/
135,Apps,2016-10-06,social/,instagram-stories,Instagram Stories has 100 million daily active users after just 2 months,instagram,https://techcrunch.com/2016/10/06/instagram-stories-has-100-million-daily-active-users-after-just-2-months/
137,Mobile,2016-10-05,social/,"jack-dorsey,ev-williams",A few charts that sum up Jack Dorsey’s first year as Twitter CEO,"salesforce,twitter",https://techcrunch.com/2016/10/05/a-few-charts-that-sum-up-jack-dorseys-first-year-as-twitter-ceo/
142,Apps,2016-10-03,social/,"messenger,facebook-messenger",Facebook launches pared back Android chat app to keep growing its messaging empire,"android,facebook",https://techcrunch.com/2016/10/03/facebook-launches-pared-back-android-chat-app-to-keep-growing-its-messaging-empire/
143,Apps,2016-09-30,social/,"snapchat-stories,facebook-messenger",Facebook “Messenger Day” is the chat app’s new Snapchat Stories clone,"snapchat,facebook",https://techcrunch.com/2016/09/30/messenger-day/
144,Apps,2016-09-30,social/,"ico,privacy",WhatsApp’s privacy U-turn on sharing data with Facebook draws more heat in Europe,"facebook,whatsapp",https://techcrunch.com/2016/09/30/whatsapps-privacy-u-turn-on-sharing-data-with-facebook-draws-more-heat-in-europe/
158,Apps,2016-10-05,europe/,"ar,inkhunter,augmented-reality","InkHunter’s AR tattoo app exits beta on Android as startup looks to wider, B2B play",android,https://techcrunch.com/2016/10/05/inkhunters-ar-tattoo-app-exits-beta-on-android-as-startup-looks-to-wider-b2b-play/
213,Apps,2016-09-24,social/,dubsmash,Taking a swing for the Grammys with the new Lip Sync Battle app,snapchat,https://techcrunch.com/2016/09/24/taking-a-swing-for-the-grammys-with-the-new-lip-sync-battle-app/
217,Apps,2016-10-03,europe/,"european-competition-commission,smartphones",Google gets more time to respond to EU antitrust charges,"android,google",https://techcrunch.com/2016/10/03/google-gets-more-time-to-respond-to-eu-antitrust-charges/
222,Apps,2016-09-30,europe/,"ico,privacy",WhatsApp’s privacy U-turn on sharing data with Facebook draws more heat in Europe,"facebook,whatsapp",https://techcrunch.com/2016/09/30/whatsapps-privacy-u-turn-on-sharing-data-with-facebook-draws-more-heat-in-europe/
254,Apps,2016-10-05,startups/,"ar,inkhunter,augmented-reality","InkHunter’s AR tattoo app exits beta on Android as startup looks to wider, B2B play",android,https://techcrunch.com/2016/10/05/inkhunters-ar-tattoo-app-exits-beta-on-android-as-startup-looks-to-wider-b2b-play/
258,Apps,2016-10-03,mobile/,"european-competition-commission,smartphones",Google gets more time to respond to EU antitrust charges,"android,google",https://techcrunch.com/2016/10/03/google-gets-more-time-to-respond-to-eu-antitrust-charges/
260,Apps,2016-09-30,mobile/,"snapchat-stories,facebook-messenger",Facebook “Messenger Day” is the chat app’s new Snapchat Stories clone,"snapchat,facebook",https://techcrunch.com/2016/09/30/messenger-day/
264,Apps,2016-09-29,mobile/,"dubset,soundcloud",Spotify could out-dance Apple if it does acquire SoundCloud,"apple-music,spotify",https://techcrunch.com/2016/09/29/spoticloud-or-soundify/
295,Apps,2016-09-07,enterprise/,"iphone,iphone-event,iphone-event-2016",All the ways you are probably going to lose an AirPod,apple,https://techcrunch.com/2016/09/07/all-the-ways-you-are-probably-going-to-lose-an-airpod/
312,Apps,2016-08-17,asia/,"commerce,india",Meesho wants to make selling through WhatsApp more efficient and less painful,y-combinator,https://techcrunch.com/2016/08/17/meesho-wants-to-make-selling-through-whatsapp-more-efficient-and-less-painful/
319,Apps,2016-10-05,startups/,"moovit,transit",Moovit tries to streamline the commute experience with an updated transit app,google-maps,https://techcrunch.com/2016/10/05/moovit-tries-to-streamline-the-commute-experience-with-an-updated-transit-app/
344,Apps,2016-09-27,mobile/,"ios-apps,apps,mobile","Airbnb revamps its app with new tools for hosts, improved messaging",airbnb,https://techcrunch.com/2016/09/27/airbnb-revamps-its-app-with-new-tools-for-hosts-improved-messaging/
370,Apps,2016-08-31,enterprise/,"quip,demandware",Salesforce shares face plant despite beating analyst expectations,"linkedin,salesforce",https://techcrunch.com/2016/08/31/salesforce-shares-face-plant-despite-beating-analyst-expectations/
375,Apps,2016-08-29,enterprise/,david-drummond,Alphabet’s David Drummond leaves Uber’s board amid mounting competition,"alphabet,uber,apple",https://techcrunch.com/2016/08/29/alphabets-david-drummond-leaves-ubers-board-amid-mounting-competition/
380,Apps,2016-08-25,enterprise/,security-breach,Dropbox is resetting passwords for accounts that haven’t changed them since mid-2012,dropbox-inc,https://techcrunch.com/2016/08/25/dropbox-is-resetting-passwords-for-accounts-that-havent-changed-them-since-mid-2012/
382,Apps,2016-09-20,social/,pinterest,Pinterest hires a head of engineering for its new Seattle office,"amazon,facebook,google",https://techcrunch.com/2016/09/20/pinterest-hires-a-head-of-engineering-for-its-new-seattle-office/
390,Apps,2016-09-14,social/,"tvos,fire-tv","Twitter launches on Apple TV, Fire TV and Xbox One","xbox-one,apple",https://techcrunch.com/2016/09/14/twitter-launches-on-apple-tv-fire-tv-and-xbox-one/
393,Apps,2016-09-13,social/,"crowley,swarm",Foursquare 10 puts search front and center,foursquare,https://techcrunch.com/2016/09/13/foursquare-10-puts-search-front-and-center/
395,Apps,2016-09-13,social/,"ios,imessage,confide",Confide brings self-destructing messaging to iMessage,apple,https://techcrunch.com/2016/09/13/confide-brings-self-desctructing-messaging-to-imessage/
397,Apps,2016-09-12,social/,"diversity,techcrunch-disrupt-2016,techcrunch-disrupt","Slack’s director of engineering, Leslie Miley, doesn’t believe in diversity quotas",slack,https://techcrunch.com/2016/09/12/slacks-director-of-engineering-leslie-miley-doesnt-believe-in-diversity-quotas/
414,Apps,2016-08-08,asia/,"southeast-asia,go-jek,grab",Google Maps adds rides with Uber rivals Grab and Go-Jek in Southeast Asia,uber,https://techcrunch.com/2016/08/08/google-maps-adds-rides-with-uber-rivals-grab-and-go-jek-in-southeast-asia/
436,Apps,2016-09-29,startups/,"dubset,soundcloud",Spotify could out-dance Apple if it does acquire SoundCloud,"apple-music,spotify",https://techcrunch.com/2016/09/29/spoticloud-or-soundify/
447,Apps,2016-09-24,mobile/,dubsmash,Taking a swing for the Grammys with the new Lip Sync Battle app,snapchat,https://techcrunch.com/2016/09/24/taking-a-swing-for-the-grammys-with-the-new-lip-sync-battle-app/
449,Mobile,2016-09-23,mobile/,"advertising,ad-tech,marketing",The biggest problem with Snapchat’s geofilter product,snapchat,https://techcrunch.com/2016/09/23/the-biggest-problem-with-snapchats-geofilter-product/
453,Apps,2016-09-22,mobile/,on-demand,"Instacart raises guaranteed delivery payout rates, removing tipping option",instacart,https://techcrunch.com/2016/09/22/instacart-raises-guaranteed-delivery-rates-removing-tipping-option/
455,Apps,2016-09-22,mobile/,facebook-messenger,Facebook Messenger adds group chat Polls and AI payment suggestions,facebook,https://techcrunch.com/2016/09/22/messenger-polls/
480,Apps,2016-08-22,enterprise/,"artificial-intelligence,office-365,microsoft-office",Microsoft buys AI scheduling tool Genee to make Office 365 smarter,microsoft,https://techcrunch.com/2016/08/22/microsoft-buys-ai-scheduling-tool-genee-to-make-office-365-smarter/
491,Apps,2016-09-12,social/,"chatbots,facebook-messenger","Facebook Messenger now allows payments in its 30,000 chat bots",facebook,https://techcrunch.com/2016/09/12/messenger-bot-payments/
497,Apps,2016-09-09,social/,"chatbots,facebook-messenger",Facebook steps in to prove the value of chatbots with Tommy Hilfiger,facebook,https://techcrunch.com/2016/09/09/botty-hilfiger/
504,Apps,2016-09-07,social/,iphone-7,"Instagram is building new zoom, filter, and GIF features for the iPhone 7 camera","apple,instagram",https://techcrunch.com/2016/09/07/iphonestagram/
533,Apps,2016-07-26,asia/,"payments,australia",Australia’s largest banks unite to challenge Apple Pay,"apple-pay,apple",https://techcrunch.com/2016/07/26/australias-largest-banks-unite-to-challenge-apple-pay/
549,Apps,2016-09-27,startups/,"sean-rad,match-group",Tinder Boost lets you pay your way to the front of the line,"bumble,tinder",https://techcrunch.com/2016/09/27/tinder-boost-lets-you-pay-your-way-to-the-front-of-the-line/
553,Apps,2016-09-21,mobile/,"mobile,apps,imessage-apps","Tinder’s newest app, Tinder Stacks, lets you swipe on anything",tinder,https://techcrunch.com/2016/09/21/tinders-newest-app-tinder-stacks-lets-you-swipe-on-anything/
556,Apps,2016-09-20,mobile/,"google-hangouts,google-duo,google-allo",Allo brings Google’s smarts to messaging,google,https://techcrunch.com/2016/09/20/allo-brings-googles-smarts-to-messaging/
558,Apps,2016-09-20,mobile/,pinterest,Pinterest hires a head of engineering for its new Seattle office,"amazon,facebook,google",https://techcrunch.com/2016/09/20/pinterest-hires-a-head-of-engineering-for-its-new-seattle-office/
560,Apps,2016-09-19,mobile/,"digital-media,business,world-wide-web",Google Photos ups its movie and sharing game,google,https://techcrunch.com/2016/09/19/google-photos-can-now-automatically-create-movies-around-themes-makes-sharing-easier/
564,Mobile,2016-09-16,mobile/,urban-engines,Google Maps picks up mapping analytics and visualization startup Urban Engines,"google-maps,google",https://techcrunch.com/2016/09/16/urban-engines-2/
567,Apps,2016-09-15,mobile/,nfl,Here’s how to watch Thursday Night Football on Twitter tonight,twitter,https://techcrunch.com/2016/09/15/heres-how-to-watch-thursday-night-football-on-twitter-tonight/
604,Apps,2016-09-05,social/,"wireless,bluetooth","Snapchat joins the Bluetooth SIG, fueling hardware speculation",snapchat,https://techcrunch.com/2016/09/05/snapchat-joints-the-bluetooth-sig-fueling-hardware-speculation/
605,Apps,2016-08-31,social/,"ios,mobile-software,photo-sharing",Instagram now lets you zoom in on videos and photos on iOS,instagram,https://techcrunch.com/2016/08/31/instagram-now-lets-you-zoom-in-on-photos-on-ios/
608,Apps,2016-08-29,social/,instagram-stories,Instagram Stories diverges from Snapchat by suggesting who to follow,"facebook,snapchat,instagram",https://techcrunch.com/2016/08/29/who-to-follow-on-instagram-stories/
613,Apps,2016-08-26,social/,privacy,WhatsApp-Facebook data-sharing deal probed by UK privacy watchdog,"whatsapp,facebook,mark-zuckerberg",https://techcrunch.com/2016/08/26/whatsapp-facebook-data-sharing-deal-probed-by-uk-privacy-watchdog/
615,Apps,2016-08-25,social/,iphone,Apple may be building a Snapchat-like video app,"snapchat,apple",https://techcrunch.com/2016/08/25/apple-may-be-building-a-snapchat-like-video-app/
