date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:21	599/599	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2019:02:39%20GMT	http://freewrite.bonnemarque.se/robots.txt		(from )
17:16:22	65373/65373	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2019:41:02%20GMT	http://freewrite.bonnemarque.se/	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/index.html	(from )
17:16:22	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2256d0aa4c-1536%22	http://freewrite.bonnemarque.se/assets/icons/favicon.ico	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/favicon.ico	(from http://freewrite.bonnemarque.se/)
17:16:23	286/286	---M--	200	added ('OK')	image/png	etag:%2211e-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/favicon-16x16.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/favicon-16x16.png	(from http://freewrite.bonnemarque.se/)
17:16:23	421/421	---M--	200	added ('OK')	image/png	etag:%221a5-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/favicon-32x32.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/favicon-32x32.png	(from http://freewrite.bonnemarque.se/)
17:16:23	561/561	---M--	200	added ('OK')	image/png	etag:%22231-52cb17a76e8c0%22	http://freewrite.bonnemarque.se/assets/icons/favicon-48x48.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/favicon-48x48.png	(from http://freewrite.bonnemarque.se/)
17:16:23	994/994	---M--	200	added ('OK')	image/png	etag:%223e2-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/favicon-96x96.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/favicon-96x96.png	(from http://freewrite.bonnemarque.se/)
17:16:24	807/807	---M--	200	added ('OK')	image/png	etag:%22327-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/apple-touch-icon-57x57-precomposed.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/apple-touch-icon-57x57-precomposed.png	(from http://freewrite.bonnemarque.se/)
17:16:24	1492/1492	---M--	200	added ('OK')	image/png	etag:%2256d0aa4c-5d4%22	http://freewrite.bonnemarque.se/assets/icons/apple-touch-icon-114x114-precomposed.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/apple-touch-icon-114x114-precomposed.png	(from http://freewrite.bonnemarque.se/)
17:16:24	780/780	---M--	200	added ('OK')	image/png	etag:%2230c-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/apple-touch-icon-60x60-precomposed.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/apple-touch-icon-60x60-precomposed.png	(from http://freewrite.bonnemarque.se/)
17:16:24	1419/1419	---M--	200	added ('OK')	image/png	etag:%2256d0aa4c-58b%22	http://freewrite.bonnemarque.se/assets/icons/apple-touch-icon-120x120-precomposed.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/apple-touch-icon-120x120-precomposed.png	(from http://freewrite.bonnemarque.se/)
17:16:25	923/923	---M--	200	added ('OK')	image/png	etag:%2239b-52cb17a862b00%22	http://freewrite.bonnemarque.se/assets/icons/apple-touch-icon-72x72-precomposed.png	C:/Users/imper/Desktop/vr/freewrite.bonnemarque.se/assets/icons/apple-touch-icon-72x72-precomposed.png	(from http://freewrite.bonnemarque.se/)
